donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
1.752353.752926	72	54	24	30	24	40	73	38	6	41	47	60	22	6	24
1.2209555.2211522	195	142	870	467	174	125	306	200	165	339	188	202	187	302	416
1.2253517.2254389	43	58	246	99	88	30	32	59	71	61	24	47	45	94	87
1.3309695.3310252	43	32	363	130	47	16	62	48	47	103	78	53	48	109	153
1.6418926.6420169	109	63	328	158	55	45	96	85	54	134	74	77	73	114	153
1.8013799.8014673	227	203	408	335	204	69	144	85	105	73	102	10	182	193	326
1.8342986.8343749	105	89	29	38	24	41	96	61	11	50	61	90	30	15	41
1.12495494.12496340	24	18	56	67	12	9	43	33	13	33	25	42	51	45	72
1.16121613.16122132	20	20	99	60	11	18	31	28	13	44	17	37	42	31	66
1.21592238.21593333	86	55	129	100	61	34	85	75	47	29	59	81	87	76	125
1.27049458.27050694	229	139	615	461	144	87	265	169	117	183	168	189	200	275	353
1.29483076.29484025	46	35	337	132	68	19	77	54	70	67	50	52	64	105	133
1.31989336.31990078	67	87	41	54	13	66	55	59	3	66	48	57	24	9	22
1.32001564.32002090	43	43	18	21	11	36	33	31	5	33	31	33	15	5	11
1.33181887.33182644	54	55	90	99	40	25	38	30	36	62	29	43	40	72	67
1.33926289.33927388	147	153	56	43	51	78	144	78	10	79	78	109	38	31	48
1.35835748.35836185	29	26	70	78	19	3	34	23	13	47	16	34	36	30	61
1.36359502.36360102	140	135	64	53	39	77	128	87	16	84	131	121	41	24	61
1.40858860.40859182	46	31	13	7	9	17	15	24	3	21	27	21	10	7	5
1.41469029.41470103	84	68	283	200	85	52	99	89	58	93	69	86	95	98	175
1.42230208.42231748	127	162	33	51	43	77	157	98	15	106	137	142	55	29	85
1.42233964.42234978	146	125	46	56	43	89	169	91	15	94	110	113	43	29	55
1.44925916.44926784	87	76	23	26	17	32	78	53	12	55	55	75	19	14	31
1.44964861.44965465	73	62	17	8	17	30	62	27	3	21	31	42	12	8	23
1.48710601.48711520	118	94	61	43	35	68	149	89	10	108	151	79	19	22	46
