baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1.1293209.1295003	182.220268654119	1.31911675891788	0.21697967557154	5.80856324786459	6.30112259107939e-09	1.96835067607051e-07
1.2066573.2067474	88.8156812962687	1.60376912384966	0.242113986273459	6.30227103587963	2.93315657714142e-10	1.58998616573537e-08
1.2209555.2211522	276.019874608799	1.12447133655811	0.190907645706063	5.81722301313875	5.98332925580638e-09	1.88368026392619e-07
1.2253517.2254389	76.0912944570603	1.50158772883458	0.231257266443717	6.27872807599911	3.41354003849988e-10	1.79309380644329e-08
1.3102866.3104596	77.9883928999701	1.09146793899873	0.159213018279776	6.59402033418514	4.28073039558559e-11	3.30371663471076e-09
1.3309695.3310252	84.6647030705116	1.29882670943217	0.293824641099227	4.23703816897408	2.26487645805841e-05	0.00017433735941488
1.3331568.3332590	58.4021298453156	1.15990196451626	0.310019941957531	3.16931842226463	0.00152796897009396	0.00580875319520355
1.3387231.3388975	187.504724284628	1.074690226094	0.198611502485969	5.14061716490763	2.73837500744521e-07	4.45981998903087e-06
1.6123544.6124377	33.8461617659185	-1.02215589873496	0.267300884741069	-3.79085712742906	0.000150128298924001	0.00083411101231894
1.6335993.6337367	66.2791441918374	1.32530348749463	0.174697076657673	7.38119253699705	1.5687794452101e-13	3.33978344079143e-11
1.7359121.7359981	42.3245433376517	1.64515323895475	0.245753167944079	6.56660875947133	5.14740553397482e-11	3.84630504112216e-09
1.7461893.7462472	40.3272854658125	1.76222192117382	0.250338228437556	6.7640811377879	1.34157888060979e-11	1.27633244736058e-09
1.7601771.7602057	31.0800638352045	1.4519957334701	0.231248726584114	6.08012848293104	1.20086283584343e-09	5.01836131458837e-08
1.8013799.8014673	178.907146196875	1.32310199687218	0.293040191122032	4.50180775132028	6.73779144084796e-06	6.3642867306155e-05
1.9431488.9432298	58.131860139115	1.79874241289948	0.270610322680138	6.47689993495808	9.36262376976067e-11	6.23614855483847e-09
1.9989345.9989909	33.8140382313311	1.00022829062329	0.188610280436379	5.23199831926755	1.67687275862336e-07	2.99185495099606e-06
1.12495494.12496340	34.8836031666453	1.0157210271084	0.221505887804596	4.49477092370947	6.96448810736022e-06	6.54302349816543e-05
1.15255916.15256638	30.6931331503653	1.49272029069075	0.270395798091583	5.2436555935683	1.57425933617873e-07	2.841338702099e-06
1.15572404.15573029	37.8677446341136	-1.07680725464615	0.201185978737296	-5.18062819658082	2.2113988526113e-07	3.73751580793646e-06
1.15601846.15603081	43.7409142666343	-1.05051142830202	0.198079164664987	-5.30945382636694	1.0995423456077e-07	2.10063599626833e-06
1.16086808.16087773	67.4051104723716	1.21852049891511	0.243465002826079	4.61810010337279	3.87269433666991e-06	4.03103180253819e-05
1.16508097.16509087	96.2137936370189	1.17741905610424	0.203056818771847	5.75627489634577	8.59903156095747e-09	2.5405711242366e-07
1.18808316.18808692	26.3447901194799	1.1894554294847	0.263737290837535	4.32644661529031	1.51534023961498e-05	0.000125039395872632
1.19248408.19249505	66.5028199298888	1.16784565625559	0.229509797829589	4.88369692435498	1.04115067047548e-06	1.35589926651766e-05
1.19664298.19665407	78.7291881625708	1.1420561794386	0.142650224999131	7.91937696581018	2.38703632143795e-15	1.06037040244286e-12
1.19772406.19772726	35.1213152224438	1.58246311041239	0.298832688956744	5.09012281658712	3.57831674209129e-07	5.57990948663805e-06
1.20016349.20016727	11.2327566247597	-1.08296690590235	0.318307489969449	-3.38467444956613	0.000712627193076993	0.00306695451861026
1.20301260.20301898	33.3568403228329	1.26281655540453	0.247794672773892	5.21263270967436	1.86179287351915e-07	3.25948556024056e-06
1.20501198.20502154	43.5675305981425	-1.04616036830392	0.182079381148829	-5.45114470629717	5.00466254960646e-08	1.0930489012368e-06
1.20616968.20617730	63.9586733400403	1.22094077435058	0.208585887321645	5.73770955717654	9.59655029227768e-09	2.78927862591003e-07
1.21646999.21647996	71.9989058532673	1.45338656976874	0.227104916841089	6.22582884868606	4.79016768505313e-10	2.38940848912429e-08
1.21694712.21695729	66.9584251684865	1.20961308298814	0.188771549214445	6.30701612008406	2.84466213189886e-10	1.54907778796531e-08
1.22668421.22669203	63.1407283348375	1.41676793954757	0.250947047352992	5.40777070459005	6.38140482901663e-08	1.33536103425001e-06
1.22962644.22963527	108.509222944574	-1.1084882645434	0.149377071708833	-7.48490490977082	7.15989576941001e-14	1.69719613330687e-11
1.23066103.23066672	39.3597251461291	1.06137353387513	0.203964988153472	5.02983911815384	4.90891556361408e-07	7.30523293159725e-06
1.23134756.23135914	81.0270100315827	1.46252439249847	0.202177357216275	7.05876950529423	1.67983441295695e-12	2.40531822947663e-10
1.23697262.23698030	38.4449208250034	1.1822439019501	0.265196952712716	4.05663023227389	4.97858072963372e-05	0.000334172052876878
1.25046427.25047373	94.578766998319	1.0132905621962	0.155886305604105	6.48317335218159	8.98132026670807e-11	6.0248533194602e-09
1.26005608.26005923	16.4168151326989	-1.20873606360668	0.273307079288267	-4.30124209507956	1.69843373995162e-05	0.000137512683514797
1.26677177.26677870	52.3783764861315	1.41087388281959	0.204347693073782	6.67359452167678	2.49612685093771e-11	2.14666909180643e-09
1.27049458.27050694	231.039245970224	1.13867623648687	0.153283646031782	7.26485617973415	3.73435377728637e-13	6.60430415985541e-11
1.27097844.27098845	74.9703780191099	1.26309254689695	0.223532748723618	5.40162178838027	6.60410780010243e-08	1.37482415369217e-06
1.27325048.27326507	69.1796665787203	1.62314239752532	0.259242230667962	6.01892654317148	1.75577518831602e-09	6.89789784289949e-08
1.28143700.28144177	47.7443697706524	2.35752694088699	0.269220787685309	8.4856831837244	2.14454999984053e-17	2.28277231681139e-14
1.29483076.29484025	87.3673227435531	1.66729062253653	0.213422289271921	7.64228329057069	2.13402994397246e-14	5.989723050704e-12
1.29651096.29652375	137.026999230466	1.18098641269969	0.162453091271927	7.04901820622259	1.80184577617716e-12	2.56052723699775e-10
1.31158152.31158939	51.1014329389951	1.75379893460294	0.274001152294511	6.20950347397821	5.31522746447164e-10	2.60072742962387e-08
1.31281856.31283433	94.5707237321805	1.06603396309713	0.196040451572309	5.27864950854679	1.30139458564886e-07	2.41432018888412e-06
1.31289015.31290219	74.5548005973122	1.40746843063314	0.246996105890414	5.45880424469581	4.7935190187775e-08	1.05349111399825e-06
1.31331495.31332107	54.8817396347892	1.01601430855715	0.20453179805185	4.82555336484004	1.39615073849746e-06	1.72844503100884e-05
1.31360901.31361876	67.1204170964876	1.47160963197897	0.212382600847243	6.75822405056665	1.39693398084411e-11	1.31788340239634e-09
1.31989336.31990078	40.3334916084557	-1.0191940547062	0.246001125645616	-4.15662040289438	3.22989985242919e-05	0.000234032918153924
1.33807467.33808628	89.3815297043246	1.3968216522448	0.234025077530567	5.68720495035811	1.29135444277358e-08	3.57473269104585e-07
1.35301070.35301886	57.1514082302188	1.27212903175496	0.227025315610312	5.30293261655981	1.13956993998786e-07	2.1624614105064e-06
1.39598161.39599066	62.7221759467532	1.25119254657564	0.229290429899017	5.29576115225403	1.18521673944088e-07	2.2333061981395e-06
1.40090651.40092058	95.577522802566	1.44910615845926	0.232180060795511	6.05164799042531	1.4337148805751e-09	5.80649380491923e-08
