peakID	Chr	Start	End	Strand	Length
1.713582.714828	1	713582	714828	.	1247
1.752353.752926	1	752353	752926	.	574
1.762043.763365	1	762043	763365	.	1323
1.805032.805682	1	805032	805682	.	651
1.839761.840342	1	839761	840342	.	582
1.841732.842793	1	841732	842793	.	1062
1.855535.857447	1	855535	857447	.	1913
1.873116.877611	1	873116	877611	.	4496
1.893784.895395	1	893784	895395	.	1612
1.895536.897190	1	895536	897190	.	1655
1.901126.902983	1	901126	902983	.	1858
1.910804.912067	1	910804	912067	.	1264
1.919378.920046	1	919378	920046	.	669
1.932220.937771	1	932220	937771	.	5552
1.948311.951181	1	948311	951181	.	2871
1.954386.955320	1	954386	955320	.	935
1.967569.968970	1	967569	968970	.	1402
1.969210.970506	1	969210	970506	.	1297
1.970967.971902	1	970967	971902	.	936
1.973713.974740	1	973713	974740	.	1028
1.975909.976328	1	975909	976328	.	420
1.976520.977008	1	976520	977008	.	489
1.993820.995731	1	993820	995731	.	1912
1.997649.1000171	1	997649	1000171	.	2523
1.1003991.1006277	1	1003991	1006277	.	2287
1.1014706.1016054	1	1014706	1016054	.	1349
1.1039484.1040031	1	1039484	1040031	.	548
1.1051165.1052394	1	1051165	1052394	.	1230
1.1057083.1059121	1	1057083	1059121	.	2039
1.1059636.1061096	1	1059636	1061096	.	1461
1.1092835.1094368	1	1092835	1094368	.	1534
1.1101222.1101836	1	1101222	1101836	.	615
1.1120442.1121372	1	1120442	1121372	.	931
1.1143299.1144159	1	1143299	1144159	.	861
1.1144344.1144840	1	1144344	1144840	.	497
1.1166176.1168201	1	1166176	1168201	.	2026
1.1195306.1196699	1	1195306	1196699	.	1394
1.1207821.1210463	1	1207821	1210463	.	2643
1.1225590.1226158	1	1225590	1226158	.	569
1.1226278.1227802	1	1226278	1227802	.	1525
1.1228493.1230187	1	1228493	1230187	.	1695
1.1236990.1237975	1	1236990	1237975	.	986
1.1239743.1245613	1	1239743	1245613	.	5871
1.1259623.1261308	1	1259623	1261308	.	1686
1.1279731.1281532	1	1279731	1281532	.	1802
1.1283053.1285385	1	1283053	1285385	.	2333
1.1290803.1291137	1	1290803	1291137	.	335
1.1293209.1295003	1	1293209	1295003	.	1795
1.1296972.1297836	1	1296972	1297836	.	865
1.1306605.1308259	1	1306605	1308259	.	1655
1.1309792.1311933	1	1309792	1311933	.	2142
1.1333994.1336446	1	1333994	1336446	.	2453
1.1341828.1343465	1	1341828	1343465	.	1638
1.1354840.1355954	1	1354840	1355954	.	1115
1.1364918.1366600	1	1364918	1366600	.	1683
1.1366896.1371377	1	1366896	1371377	.	4482
1.1371730.1375411	1	1371730	1375411	.	3682
